"Test Case ID","Feature","Scope","Priority","Android Version","Test Category","Test Type","Scenario","Preconditions","Manual Steps","Expected Result","Edge Cases","Regression","Accessibility","Performance","Battery","Memory","Security","Google Play","Status","Evidence"
"TC-0011","App startup and bootstrap","Implemented","P2","Android 12 / API 31","Edge Case","Tiny or zero-size input","Use an empty, tiny, or near-zero-size file. Feature focus: App startup and bootstrap.","App launches with a valid dependency environment.","1. App launches with a valid dependency environment. 2. Launch the app and deferred initialization. 3. Apply the scenario: Fixtures are available.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Startup is responsive and deferred work is safe. The app rejects unsupported content safely or handles it deterministically without crash or divide-by-zero behavior. Verify this specifically for App startup and bootstrap.","0-byte and smallest valid files.","Yes","Error/empty result is announced.","No hang during inspection.","No repeated retries.","No retained failed buffer.","No unsafe file operation.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0012","App startup and bootstrap","Implemented","P2","Android 12L / API 32","Edge Case","Unsupported format","Use a format outside the approved support set. Feature focus: App startup and bootstrap.","App launches with a valid dependency environment.","1. App launches with a valid dependency environment. 2. Launch the app and deferred initialization. 3. Apply the scenario: Unsupported fixture is available.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Startup is responsive and deferred work is safe. The app clearly rejects or safely declines the operation; original file remains untouched. Verify this specifically for App startup and bootstrap.","Unknown extension and valid-but-unsupported codec.","Yes","Unsupported reason is accessible.","Failure is prompt.","No background codec loop.","No decoder leak.","No file disclosure.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0013","App startup and bootstrap","Implemented","P0","Android 13 / API 33","Security","Permission denial","Deny a requested platform permission or picker access. Feature focus: App startup and bootstrap.","App launches with a valid dependency environment.","1. App launches with a valid dependency environment. 2. Launch the app and deferred initialization. 3. Apply the scenario: Permission prompt or denial path is available.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Startup is responsive and deferred work is safe. The app explains the limitation, does not loop prompts, and does not access unapproved files. Verify this specifically for App startup and bootstrap.","First denial and repeated denial.","Yes","Denial message and recovery action are announced.","No prompt loop.","No background access attempt.","No retained unauthorized handle.","No permission escalation.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0014","App startup and bootstrap","Implemented","P2","Android 14 / API 34","Regression","Permission restoration","Restore access after a previous denial. Feature focus: App startup and bootstrap.","App launches with a valid dependency environment.","1. App launches with a valid dependency environment. 2. Launch the app and deferred initialization. 3. Apply the scenario: Permission was denied; system settings available.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Startup is responsive and deferred work is safe. The next permitted action succeeds without stale denial state or duplicate prompts. Verify this specifically for App startup and bootstrap.","Grant after denial and after restart.","Yes","State change is communicated.","No repeated initialization.","No extra wakeups.","Handles are refreshed safely.","Only granted scope is used.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0015","App startup and bootstrap","Implemented","P2","Android 15 / API 35","Privacy","Offline operation","Run the feature with network unavailable. Feature focus: App startup and bootstrap.","App launches with a valid dependency environment.","1. App launches with a valid dependency environment. 2. Launch the app and deferred initialization. 3. Apply the scenario: Disable network or use an offline test profile.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Startup is responsive and deferred work is safe. Local functionality remains available where designed; no misleading online dependency or upload occurs. Verify this specifically for App startup and bootstrap.","Airplane mode and blocked DNS.","Yes","Offline status is understandable.","No network timeout delays local work.","No retry polling.","No network buffers.","No image/metadata upload.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0016","App startup and bootstrap","Implemented","P2","Android 16 / API 36","Accessibility","Dark theme","Exercise the feature in dark theme. Feature focus: App startup and bootstrap.","App launches with a valid dependency environment.","1. App launches with a valid dependency environment. 2. Launch the app and deferred initialization. 3. Apply the scenario: Dark theme is enabled.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Startup is responsive and deferred work is safe. Contrast, icons, states, and focus indicators remain clear and functional. Verify this specifically for App startup and bootstrap.","Dark mode with errors and progress.","No","TalkBack labels remain unchanged and clear.","Theme switch has no jank.","No animation regressions.","No duplicate theme resources.","No sensitive content in theme debug logs.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0017","App startup and bootstrap","Implemented","P1","Android 10 / API 29","Accessibility","Large text","Exercise the feature with large system text and app scaling. Feature focus: App startup and bootstrap.","App launches with a valid dependency environment.","1. App launches with a valid dependency environment. 2. Launch the app and deferred initialization. 3. Apply the scenario: System text/display scaling is increased.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Startup is responsive and deferred work is safe. Text remains readable; controls wrap or scroll without clipping, overlap, or lost actions. Verify this specifically for App startup and bootstrap.","At least 200% where supported.","Yes","Reading order and labels remain intact.","No excessive layout churn.","No animation-induced clipping.","No extra image buffers.","No hidden security warning.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0018","App startup and bootstrap","Implemented","P1","Android 11 / API 30","Accessibility","TalkBack","Navigate the feature with TalkBack enabled. Feature focus: App startup and bootstrap.","App launches with a valid dependency environment.","1. App launches with a valid dependency environment. 2. Launch the app and deferred initialization. 3. Apply the scenario: TalkBack is enabled on a physical device.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Startup is responsive and deferred work is safe. Every actionable element has an accurate label, role, state, and logical order; no focus trap exists. Verify this specifically for App startup and bootstrap.","Idle, progress, error, and success states.","Yes","Verify announcements and live regions.","No focus-related jank.","No repeated announcements.","No semantic tree explosion.","No sensitive data announced unnecessarily.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0019","App startup and bootstrap","Implemented","P1","Android 12 / API 31","Localization","RTL/Hindi","Exercise the feature in Hindi and an RTL locale where supported. Feature focus: App startup and bootstrap.","App launches with a valid dependency environment.","1. App launches with a valid dependency environment. 2. Launch the app and deferred initialization. 3. Apply the scenario: Locale is available; RTL test profile is configured.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Startup is responsive and deferred work is safe. Translated strings, interpolation, order, alignment, and truncation remain correct. Verify this specifically for App startup and bootstrap.","Hindi plus RTL smoke locale.","Yes","Labels and reading order are correct.","No layout thrash from text changes.","No locale polling.","No duplicate localized image state.","No path/URI leakage in translated errors.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0020","App startup and bootstrap","Implemented","P1","Android 12L / API 32","Accessibility","Reduced motion","Exercise the feature with reduced motion enabled. Feature focus: App startup and bootstrap.","App launches with a valid dependency environment.","1. App launches with a valid dependency environment. 2. Launch the app and deferred initialization. 3. Apply the scenario: System/app reduced-motion preference is enabled.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Startup is responsive and deferred work is safe. Essential state changes remain clear; motion is reduced or disabled without loss of meaning. Verify this specifically for App startup and bootstrap.","Progress, transitions, and errors.","Yes","State changes are announced without relying on motion.","No animation workload remains.","Lower animation energy use.","No animation-controller leak.","No debug flag exposure.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0021","App startup and bootstrap","Implemented","P1","Android 13 / API 33","Accessibility","Keyboard/focus","Use keyboard, switch access, or hardware navigation where supported. Feature focus: App startup and bootstrap.","App launches with a valid dependency environment.","1. App launches with a valid dependency environment. 2. Launch the app and deferred initialization. 3. Apply the scenario: External keyboard/accessibility input is available.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Startup is responsive and deferred work is safe. Focus order is logical, visible, and complete; every action is reachable. Verify this specifically for App startup and bootstrap.","Dialogs, sliders, menus, and lists.","Yes","Focused control has a meaningful label.","No focus traversal lag.","No key-repeat action storm.","No focus-node leak.","No unintended destructive activation.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0022","App startup and bootstrap","Implemented","P2","Android 14 / API 34","Responsive","Landscape","Use the feature in landscape orientation. Feature focus: App startup and bootstrap.","App launches with a valid dependency environment.","1. App launches with a valid dependency environment. 2. Launch the app and deferred initialization. 3. Apply the scenario: Landscape device/profile available.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Startup is responsive and deferred work is safe. Content fits or scrolls predictably; no clipped primary action or inaccessible control occurs. Verify this specifically for App startup and bootstrap.","Phone landscape and tablet landscape.","Yes","Reading order remains logical.","No expensive relayout loop.","No persistent orientation wakeup.","Preview memory remains bounded.","No alternate path bypasses validation.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0023","App startup and bootstrap","Implemented","P2","Android 15 / API 35","Responsive","Tablet layout","Use the feature on a tablet-sized device. Feature focus: App startup and bootstrap.","App launches with a valid dependency environment.","1. App launches with a valid dependency environment. 2. Launch the app and deferred initialization. 3. Apply the scenario: Tablet device/profile available.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Startup is responsive and deferred work is safe. Content uses available space appropriately without stretched or overlapping controls. Verify this specifically for App startup and bootstrap.","7-inch and 10-inch where available.","Yes","Focus traversal works across columns.","Scroll and layout remain smooth.","No excess background work.","Large preview remains bounded.","No tablet-only storage bypass.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0024","App startup and bootstrap","Implemented","P2","Android 16 / API 36","Responsive","Foldable/layout change","Open, fold/unfold, or resize the window. Feature focus: App startup and bootstrap.","App launches with a valid dependency environment.","1. App launches with a valid dependency environment. 2. Launch the app and deferred initialization. 3. Apply the scenario: Foldable/resizable profile available.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Startup is responsive and deferred work is safe. The UI adapts without losing state, duplicating work, or hiding the primary action. Verify this specifically for App startup and bootstrap.","Folded, unfolded, tabletop, and resize.","Yes","Semantic order adapts correctly.","No relayout jank or loop.","No repeated wakeups.","No duplicate preview cache.","No state leakage between panes.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0025","App startup and bootstrap","Implemented","P1","Android 10 / API 29","Memory","Low memory","Exercise the feature under memory pressure. Feature focus: App startup and bootstrap.","App launches with a valid dependency environment.","1. App launches with a valid dependency environment. 2. Launch the app and deferred initialization. 3. Apply the scenario: Low-RAM device/profile; other apps may be open.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Startup is responsive and deferred work is safe. The app degrades gracefully, releases caches where expected, and avoids OOM/crash. Verify this specifically for App startup and bootstrap.","2 GB and 3 GB RAM targets.","Yes","Announcements remain available after pressure.","Record recovery time.","No background work spike.","Record cache eviction and peak memory.","No stale temp file after eviction.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0026","App startup and bootstrap","Implemented","P1","Android 11 / API 30","Performance","Low storage","Exercise the feature with low free storage. Feature focus: App startup and bootstrap.","App launches with a valid dependency environment.","1. App launches with a valid dependency environment. 2. Launch the app and deferred initialization. 3. Apply the scenario: Device has controlled low free space.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Startup is responsive and deferred work is safe. Failures are typed/useful, originals remain safe, and partial outputs are cleaned. Verify this specifically for App startup and bootstrap.","Near-full app-private and shared storage.","Yes","Storage error is announced.","Failure is prompt, not a hang.","No repeated write retries.","No unbounded failed-output accumulation.","No overwrite of unrelated files.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0027","App startup and bootstrap","Implemented","P1","Android 12 / API 31","Battery","Battery/long session","Run repeated operations for an extended session. Feature focus: App startup and bootstrap.","App launches with a valid dependency environment.","1. App launches with a valid dependency environment. 2. Launch the app and deferred initialization. 3. Apply the scenario: Battery measurement profile available.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Startup is responsive and deferred work is safe. No unexpected background activity, runaway CPU, or severe thermal behavior occurs. Verify this specifically for App startup and bootstrap.","Long session on battery and charging.","Yes","Progress remains understandable.","Record throughput over time.","Compare battery drain and wakeups.","Track memory trend.","No diagnostic data leaves device.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0028","App startup and bootstrap","Implemented","P1","Android 12L / API 32","Performance","Thermal throttling","Continue operation as the device warms. Feature focus: App startup and bootstrap.","App launches with a valid dependency environment.","1. App launches with a valid dependency environment. 2. Launch the app and deferred initialization. 3. Apply the scenario: Thermal monitoring profile available.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Startup is responsive and deferred work is safe. The app remains stable, communicates progress, and does not corrupt output under throttling. Verify this specifically for App startup and bootstrap.","Low-end and modern device.","Yes","State remains understandable when slower.","Record throughput/frames/temperature.","No unsafe thermal workaround.","Memory stays bounded.","No partial output exposure.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0029","App startup and bootstrap","Implemented","P2","Android 13 / API 33","Edge Case","Rapid taps","Tap primary and destructive controls rapidly. Feature focus: App startup and bootstrap.","App launches with a valid dependency environment.","1. App launches with a valid dependency environment. 2. Launch the app and deferred initialization. 3. Apply the scenario: Feature has actionable controls.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Startup is responsive and deferred work is safe. Actions are debounced or safely idempotent; no duplicate writes, dialogs, exports, or crashes occur. Verify this specifically for App startup and bootstrap.","Save/share/cancel/reset controls.","Yes","Focus and labels remain stable.","No rebuild storm.","No duplicate wakeups.","No duplicate buffers/files.","No duplicate or unauthorized export.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0030","App startup and bootstrap","Implemented","P2","Android 14 / API 34","Performance","Rebuild/jank","Trigger repeated state updates while observing UI smoothness. Feature focus: App startup and bootstrap.","App launches with a valid dependency environment.","1. App launches with a valid dependency environment. 2. Launch the app and deferred initialization. 3. Apply the scenario: Performance overlay/profile available.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Startup is responsive and deferred work is safe. Only necessary content rebuilds; no visible jank or dropped-frame cluster occurs. Verify this specifically for App startup and bootstrap.","Long lists and progress surfaces.","Yes","Semantics stay synchronized.","Record frame timing and rebuild evidence.","No animation loop.","No allocation trend.","No sensitive debug overlay in release.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0031","App startup and bootstrap","Implemented","P2","Android 15 / API 35","Lifecycle","Interrupted operation","Interrupt with a competing action or system event. Feature focus: App startup and bootstrap.","App launches with a valid dependency environment.","1. App launches with a valid dependency environment. 2. Launch the app and deferred initialization. 3. Apply the scenario: Operation is active.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Startup is responsive and deferred work is safe. The app resolves the interruption safely, preserves truth, and offers retry/recovery where appropriate. Verify this specifically for App startup and bootstrap.","At each operation phase.","Yes","Interruption message is announced.","Measure resume/abort latency.","No work continues invisibly.","No stale native resource.","No wrong-file export.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0032","App startup and bootstrap","Implemented","P1","Android 16 / API 36","Regression","Retry failure","Force a recoverable failure and retry. Feature focus: App startup and bootstrap.","App launches with a valid dependency environment.","1. App launches with a valid dependency environment. 2. Launch the app and deferred initialization. 3. Apply the scenario: Controlled failure fixture or low-storage state.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Startup is responsive and deferred work is safe. Retry starts one clean attempt, clears stale error state, and succeeds or fails truthfully. Verify this specifically for App startup and bootstrap.","Picker, codec, MediaStore, and share failures.","Yes","Error and retry are accessible.","No exponential/unbounded retry loop.","No repeated background work after failure.","Previous failed buffers are released.","Retry cannot bypass validation.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0033","App startup and bootstrap","Implemented","P1","Android 10 / API 29","Edge Case","Duplicate input/output","Use duplicate selections or existing output names. Feature focus: App startup and bootstrap.","App launches with a valid dependency environment.","1. App launches with a valid dependency environment. 2. Launch the app and deferred initialization. 3. Apply the scenario: Duplicate files/names available.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Startup is responsive and deferred work is safe. The app rejects duplicates or resolves names deterministically without overwriting unrelated files. Verify this specifically for App startup and bootstrap.","Same path, same name, and equivalent content.","Yes","Duplicate warning is announced.","No repeated processing of same asset.","No duplicate battery work.","No duplicate retained buffers.","Collision/path policy is enforced.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0034","App startup and bootstrap","Implemented","P0","Android 11 / API 30","Security","Malicious path/name","Attempt traversal, remote URI, NUL, or unsafe filename input. Feature focus: App startup and bootstrap.","App launches with a valid dependency environment.","1. App launches with a valid dependency environment. 2. Launch the app and deferred initialization. 3. Apply the scenario: Security fixtures are available; use non-sensitive files.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Startup is responsive and deferred work is safe. Input fails closed; no outside-root read/write, crash, disclosure, or bypass occurs. Verify this specifically for App startup and bootstrap.","../, absolute outside root, remote URI, NUL, reserved names.","Yes","Security error is understandable without leaking paths.","Rejection is prompt.","No retry loop.","No unauthorized allocation.","Canonical root and validation hold.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0035","App startup and bootstrap","Implemented","P0","Android 12 / API 31","Security","Symlink escape","Attempt to use a symlink that resolves outside an authorized root. Feature focus: App startup and bootstrap.","App launches with a valid dependency environment.","1. App launches with a valid dependency environment. 2. Launch the app and deferred initialization. 3. Apply the scenario: Test filesystem permits controlled symlink fixture.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Startup is responsive and deferred work is safe. Canonicalization rejects the escape and leaves the outside file untouched. Verify this specifically for App startup and bootstrap.","Symlink to file and directory.","Yes","Failure remains accessible.","No expensive repeated resolution.","No background retry.","No leaked file handle.","Path policy fails closed.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
"TC-0036","App startup and bootstrap","Implemented","P0","Android 12L / API 32","Security","NUL/unsafe filename","Use NUL bytes, separators, reserved names, and extreme filename lengths. Feature focus: App startup and bootstrap.","App launches with a valid dependency environment.","1. App launches with a valid dependency environment. 2. Launch the app and deferred initialization. 3. Apply the scenario: Filename validation boundary available.. 4. Observe the UI, files, logs, and device behavior. 5. Record evidence.","Startup is responsive and deferred work is safe. Names are rejected or sanitized safely; no traversal, crash, or accidental overwrite occurs. Verify this specifically for App startup and bootstrap.","Unicode, separators, dots, NUL, 255+ chars.","Yes","Sanitization result is announced when relevant.","No repeated validation loop.","No extra file writes.","No unbounded string/path allocation.","No unsafe destination.","Do not publish unsupported claims; verify behavior against the exact AAB and approved listing.","Not Run","Attach screenshot/log/trace/device ID and result notes."
